year,round,event_name,train_races,train_rows,prediction_rows,win_brier,podium_brier,top10_brier,finish_mae
2024,13,Hungarian Grand Prix,12,239,20,0.04439023247960498,0.06986630641853309,0.1582580681068472,2.800591317799191
2024,14,Belgian Grand Prix,13,259,20,0.0394830314257245,0.08450432693535134,0.1252894292789468,2.507639900849745
2024,15,Dutch Grand Prix,14,279,20,0.038550461713098796,0.0876534742902848,0.1195348944995874,2.900225736781663
2024,16,Italian Grand Prix,15,299,20,0.04089093506811043,0.04980795928876904,0.06796668835958593,2.363484332003047
2024,17,Azerbaijan Grand Prix,16,319,20,0.04150393780296659,0.08105126186105184,0.20414607661433531,4.584598568282526
2024,18,Singapore Grand Prix,17,339,20,0.0304792552516455,0.05641335695492446,0.08091185839636122,2.139126084469684
2024,19,United States Grand Prix,18,359,20,0.042113158076286496,0.06417707842809359,0.1957174903679201,2.8048157730145027
2024,20,Mexico City Grand Prix,19,379,20,0.03651642266919712,0.060480302824475016,0.09841823956101103,3.5085475302895532
2024,21,São Paulo Grand Prix,20,399,20,0.051696242763803614,0.18001809431969004,0.18265308631218743,4.137721637002663
2024,22,Las Vegas Grand Prix,21,419,20,0.05610824968845372,0.09721316641366604,0.12356922100108132,3.688434838302237
2024,23,Qatar Grand Prix,22,439,20,0.041830446474276015,0.08521953736425848,0.13567084590823258,3.2811767856609526
2024,24,Abu Dhabi Grand Prix,23,459,20,0.03982237613446209,0.09636727976922659,0.1415754733416423,3.4065771594807885
2025,1,Australian Grand Prix,24,479,20,0.030973326204182285,0.0704289321757924,0.19754952438120815,4.372714944377061
2025,2,Chinese Grand Prix,25,499,20,0.0360568807714797,0.05043474533726927,0.22176295057880435,4.478766156362189
2025,3,Japanese Grand Prix,26,519,20,0.041228040376672034,0.04899312101407798,0.12965745210565788,1.8602364675351477
2025,4,Bahrain Grand Prix,27,539,20,0.02910264509494844,0.05968908626151007,0.17502028719164747,3.1301263298351283
2025,5,Saudi Arabian Grand Prix,28,559,20,0.02732889154434768,0.05465693032765915,0.11821836570000906,3.056485424633062
2025,6,Miami Grand Prix,29,579,20,0.04735040409608918,0.07462711670468071,0.0658649382663534,2.2171072187728273
2025,7,Emilia Romagna Grand Prix,30,599,20,0.03651070373569352,0.03151558260364194,0.15576624556370983,3.173399095105142
2025,8,Monaco Grand Prix,31,619,20,0.024107290840097613,0.033600051800463174,0.12068042722036638,3.1834384208756163
2025,9,Spanish Grand Prix,32,639,19,0.02201452426468108,0.08960388973306448,0.17451135889451386,3.4360667113451813
2025,10,Canadian Grand Prix,33,658,20,0.03838115630370976,0.09965186770505492,0.163427725201736,2.89851396945293
2025,11,Austrian Grand Prix,34,678,20,0.024332357727946053,0.033301050791104556,0.15929552083752122,3.3273628665673782
2025,12,British Grand Prix,35,698,20,0.043120533775643136,0.09077908492686868,0.2212104134061307,4.206300133301365
2025,13,Belgian Grand Prix,36,718,20,0.04561486531286045,0.01946714316981802,0.1388147919787573,2.6677971781216003
2025,14,Hungarian Grand Prix,37,738,20,0.023656127483414054,0.054495973587127,0.13496006353670317,1.8644137631548596
2025,15,Dutch Grand Prix,38,758,20,0.034210589207266065,0.12516318139657118,0.34140385943803864,5.588051539599403
2025,16,Italian Grand Prix,39,778,20,0.03379146146152728,0.03805251931340186,0.1314067122490559,2.4638029754084783
2025,17,Azerbaijan Grand Prix,40,798,20,0.018075642741696055,0.06773796378934517,0.11357961648375696,3.01861710114519
2025,18,Singapore Grand Prix,41,818,20,0.02602052956989771,0.08555047181303986,0.11496698907809717,2.4063996546954054
2025,19,United States Grand Prix,42,838,20,0.029583087562085508,0.055869221556582215,0.17531822449843174,3.394819895202496
2025,20,Mexico City Grand Prix,43,858,20,0.014451453342354939,0.03995239471543686,0.16213747177438464,3.5119847688975816
2025,21,São Paulo Grand Prix,44,878,20,0.03536573794561098,0.06820630692719593,0.16363319187575737,4.574240386804548
2025,22,Las Vegas Grand Prix,45,898,20,0.03779555928274257,0.07882513395027602,0.24860235063474403,4.967708523011881
2025,23,Qatar Grand Prix,46,918,20,0.02695950723177227,0.09243928621069228,0.1742271548133452,3.1042384979338933
2025,24,Abu Dhabi Grand Prix,47,938,20,0.019085118037259905,0.05888506305866955,0.18422942314811339,2.856357176738319
